,pws
2020-01-01,0.0
2020-01-02,1.0
2020-01-03,0.9795403975258327
2020-01-06,0.9412963710149339
2020-01-07,0.9308943172311522
2020-01-08,0.8809988102135901
2020-01-09,0.9017144601606738
2020-01-10,0.9374805726267569
2020-01-13,0.8785146071223549
2020-01-14,0.9051271863714786
2020-01-15,0.878472406053377
2020-01-16,0.8968582772446178
2020-01-17,0.9026501570847074
2020-01-20,0.889708328639238
2020-01-21,0.868966296344678
2020-01-22,0.8692384059748586
2020-01-23,0.8839573876124783
2020-01-24,0.8970693795089969
2020-01-27,0.8957119127004751
2020-01-28,0.8920949088201057
2020-01-29,0.9023015486332084
2020-01-30,0.8534283307047957
2020-01-31,0.885782116525225
2020-02-03,0.8567622840788524
2020-02-04,0.8461690729579658
2020-02-05,0.8685933415031385
2020-02-06,0.8578427260711893
2020-02-07,0.8453280006485151
2020-02-10,0.8651267664416954
2020-02-11,0.849964378004657
2020-02-12,0.8452050683002406
2020-02-13,0.8676788311120318
2020-02-14,0.8381864915469599
2020-02-17,0.8595754882489746
2020-02-18,0.8440947418527269
2020-02-19,0.8372679196542568
2020-02-20,0.8587395658017349
2020-02-21,0.8397867020295461
2020-02-24,0.8172960935743651
2020-02-25,0.830111395404865
2020-02-26,0.8072925913247043
2020-02-27,0.8346000817434764
2020-02-28,0.8273561313790516
2020-03-02,0.8155427282563799
2020-03-03,0.817576951944346
2020-03-04,0.8340181822967728
2020-03-05,0.8335947005502427
2020-03-06,0.8225410490706145
2020-03-09,0.838575685869111
2020-03-10,0.8127093532801789
2020-03-11,0.818506254825132
2020-03-12,0.8285051344683595
2020-03-13,0.814960234279356
2020-03-16,0.8208138950870595
2020-03-17,0.7973493605100359
2020-03-18,0.7946128241655541
2020-03-19,0.8113006630546006
2020-03-20,0.8154653440276056
2020-03-23,0.8050501797688197
2020-03-24,0.819188832802235
2020-03-25,0.808465421858994
2020-03-26,0.7985111747570248
2020-03-27,0.8338112234476337
2020-03-30,0.7792516410455254
2020-03-31,0.8088759725730921
2020-04-01,0.7654756300624727
2020-04-02,0.7985156138101281
2020-04-03,0.7882834577331933
2020-04-06,0.8111823874114293
2020-04-07,0.7972502150342525
2020-04-08,0.8142521124595177
2020-04-09,0.8214847139448921
2020-04-10,0.8154313511699623
2020-04-13,0.8063725120073613
2020-04-14,0.7860146927713196
2020-04-15,0.815520349069246
2020-04-16,0.7960006500066842
2020-04-17,0.7952374452338662
2020-04-20,0.7744588685343113
2020-04-21,0.7623984138260635
2020-04-22,0.757719153296671
2020-04-23,0.7981301069550516
2020-04-24,0.7707002738690818
2020-04-27,0.8038637315319566
2020-04-28,0.7679767262951313
2020-04-29,0.7802155683597293
2020-04-30,0.7685334970273605
2020-05-01,0.7846657593436336
2020-05-04,0.788269334779098
2020-05-05,0.7656709748183571
2020-05-06,0.7797144814211886
