,pws
2020-01-01,0.0
2020-01-02,0.7460345011817976
2020-01-03,0.7385301886635558
2020-01-06,0.7452715511841401
2020-01-07,0.7607336313207743
2020-01-08,0.7668439717285993
2020-01-09,0.7489207998889275
2020-01-10,0.7570514361440664
2020-01-13,0.7586913119163429
2020-01-14,0.7597669598388844
2020-01-15,0.7376369275740106
2020-01-16,0.7628258090433313
2020-01-17,0.7249979995187537
2020-01-20,0.7735128615670276
2020-01-21,0.7222394881328679
2020-01-22,0.7356358506257283
2020-01-23,0.8006401978484592
2020-01-24,0.743053932785239
2020-01-27,0.7542991468413744
2020-01-28,0.7739985933255039
2020-01-29,0.7574503951163982
2020-01-30,0.7539950051875735
2020-01-31,0.7514286769394198
2020-02-03,0.745301072462174
2020-02-04,0.7503997624366037
2020-02-05,0.7731017878063621
2020-02-06,0.7872929761674777
2020-02-07,0.7539958458803108
2020-02-10,0.7800651188100014
2020-02-11,0.756222404193185
2020-02-12,0.7251033038344973
2020-02-13,0.7964691815179632
2020-02-14,0.7457757637144838
2020-02-17,0.7483023417013932
2020-02-18,0.7387404333381307
2020-02-19,0.7624195104143475
2020-02-20,0.7567132206964555
2020-02-21,0.7460239326423486
2020-02-24,0.75497799408075
2020-02-25,0.8167019928370859
2020-02-26,0.7604754011317719
2020-02-27,0.7441447615582413
2020-02-28,0.7604352328987241
2020-03-02,0.7093526104865955
2020-03-03,0.7600710797732233
2020-03-04,0.717926629162056
2020-03-05,0.7657173211385891
2020-03-06,0.7415079472711641
2020-03-09,0.7425326721568881
2020-03-10,0.7969221605990813
2020-03-11,0.7379343893203424
2020-03-12,0.756459335855811
2020-03-13,0.7665502985872898
2020-03-16,0.7804896893890336
2020-03-17,0.7504515016221086
2020-03-18,0.7651315402923067
2020-03-19,0.7864278469434499
2020-03-20,0.8092770263650848
2020-03-23,0.7479877106671416
2020-03-24,0.7625882528697322
2020-03-25,0.7414903489260573
2020-03-26,0.7640795407673712
2020-03-27,0.7819911564601697
2020-03-30,0.7608593508099218
2020-03-31,0.7676565632542843
2020-04-01,0.7654430912442575
2020-04-02,0.7598248950138322
2020-04-03,0.7522318358733222
2020-04-06,0.7447881425942924
2020-04-07,0.7873350086872443
2020-04-08,0.746692012607067
2020-04-09,0.7322757611568176
2020-04-10,0.7304843614388129
2020-04-13,0.7614661451401531
2020-04-14,0.7675061046285413
2020-04-15,0.7450824922972862
2020-04-16,0.7743519793597309
2020-04-17,0.7201765422731051
2020-04-20,0.7821674984624004
2020-04-21,0.7608695932786247
2020-04-22,0.7638391443109062
2020-04-23,0.7483961471663796
2020-04-24,0.7398506428447508
2020-04-27,0.7593814159778202
2020-04-28,0.7712645590199398
2020-04-29,0.7682516687617109
2020-04-30,0.787867683536968
2020-05-01,0.7822685287269057
2020-05-04,0.7545550480911535
2020-05-05,0.7618269022735679
2020-05-06,0.7583130034185156
2020-05-07,0.7570072654989278
2020-05-08,0.7693791772598979
2020-05-11,0.7701595094706088
2020-05-12,0.7736336016229106
2020-05-13,0.7651346701753053
2020-05-14,0.7436478931183804
2020-05-15,0.747344382749961
2020-05-18,0.7920418974148518
2020-05-19,0.7597960283559837
2020-05-20,0.7590751596718192
2020-05-21,0.7555885442858064
2020-05-22,0.7795511209494649
2020-05-25,0.781310130572769
2020-05-26,0.7824584386227526
2020-05-27,0.7703439696410899
2020-05-28,0.7473420419543261
2020-05-29,0.7701829687441388
2020-06-01,0.7497435218230191
2020-06-02,0.7640953448819984
2020-06-03,0.7644391729041287
2020-06-04,0.7775469156937649
2020-06-05,0.7666673366448447
2020-06-08,0.7564673718314961
2020-06-09,0.763513757456119
2020-06-10,0.7506021739289173
2020-06-11,0.774828382648761
2020-06-12,0.7849209609192142
2020-06-15,0.771368068407276
2020-06-16,0.7515843954727961
2020-06-17,0.7579716076144644
2020-06-18,0.7838838889183944
2020-06-19,0.7605579115985073
2020-06-22,0.7459689576283436
2020-06-23,0.7739829995306547
2020-06-24,0.7411301386693201
2020-06-25,0.7462974401388942
2020-06-26,0.760082639756385
2020-06-29,0.7504217905034732
2020-06-30,0.755010094484172
2020-07-01,0.7529390181765647
2020-07-02,0.7604157036105991
2020-07-03,0.7849486272370655
2020-07-06,0.7913838228543102
2020-07-07,0.7777076849141377
2020-07-08,0.759232411183848
2020-07-09,0.7545173088647024
2020-07-10,0.743152874325862
2020-07-13,0.7870518004683982
2020-07-14,0.7744337283004791
2020-07-15,0.7484590144188256
2020-07-16,0.7415345173128272
2020-07-17,0.7335246601148666
2020-07-20,0.7807572190350208
2020-07-21,0.7574865302950413
2020-07-22,0.7725855011913538
2020-07-23,0.7496888176838341
2020-07-24,0.744458187844053
2020-07-27,0.7732937225892723
2020-07-28,0.7460968878131577
2020-07-29,0.7531910379871236
2020-07-30,0.778478982829987
2020-07-31,0.7695387922525212
2020-08-03,0.7686280514522851
2020-08-04,0.7476654502413742
2020-08-05,0.7589450811544461
2020-08-06,0.7485764777721109
2020-08-07,0.7384046930597613
2020-08-10,0.7807266347016789
2020-08-11,0.7322174608912191
2020-08-12,0.7903003552434197
2020-08-13,0.7640636738799965
2020-08-14,0.7746789207366278
2020-08-17,0.7705982559907361
2020-08-18,0.7181758749808183
2020-08-19,0.7833001455296086
2020-08-20,0.7626544946289989
2020-08-21,0.7879682576740737
2020-08-24,0.7682606464080802
2020-08-25,0.7687022075795371
2020-08-26,0.7621748218968701
2020-08-27,0.7460056847234674
2020-08-28,0.7478749747440784
2020-08-31,0.7479691297479965
2020-09-01,0.7163914246578715
2020-09-02,0.7861697920910972
2020-09-03,0.7530594848397574
2020-09-04,0.7786692116419609
2020-09-07,0.7407064278553607
2020-09-08,0.761101833726076
2020-09-09,0.786188050380846
2020-09-10,0.736826706707612
2020-09-11,0.7616545154514432
2020-09-14,0.7639859508113835
2020-09-15,0.757045472594777
