,event_date,car,cumulative_return,expected_return
0,2010-02-04,-0.025239711821430477,-0.020983842218472715,0.0042558696029577625
1,2010-03-08,0.009393886021709541,0.013649755624667304,0.0042558696029577625
2,2010-04-16,-0.01261750592475086,-0.008361636321793098,0.0042558696029577625
3,2010-04-27,-0.019534603038467435,-0.015278733435509673,0.0042558696029577625
4,2010-05-06,0.0018249887380277219,0.006080858340985484,0.0042558696029577625
5,2010-05-10,0.009715924896382733,0.013971794499340495,0.0042558696029577625
6,2010-05-27,0.03091408124225059,0.03516995084520835,0.0042558696029577625
7,2010-06-09,0.02873748762756212,0.03299335723051988,0.0042558696029577625
8,2010-06-21,-0.03543336502629313,-0.031177495423335366,0.0042558696029577625
9,2010-07-07,0.0499233726103161,0.05417924221327386,0.0042558696029577625
10,2010-07-16,-0.008499219511691525,-0.004243349908733762,0.0042558696029577625
11,2010-07-29,0.013079368891902199,0.01733523849485996,0.0042558696029577625
12,2010-08-05,-0.029386516611202063,-0.0251306470082443,0.0042558696029577625
13,2010-08-11,-0.025514646673890695,-0.021258777070932933,0.0042558696029577625
14,2010-08-16,0.0026656719032451814,0.006921541506202944,0.0042558696029577625
15,2010-09-01,0.03598415249388309,0.040240022096840855,0.0042558696029577625
16,2010-09-10,0.0152901942200796,0.019546063823037363,0.0042558696029577625
17,2010-10-01,-0.0013547267179832012,0.0029011428849745613,0.0042558696029577625
18,2010-12-31,0.025515941815257515,0.029771811418215277,0.0042558696029577625
19,2011-01-28,-0.003483057041596682,0.0007728125613610803,0.0042558696029577625
20,2011-02-22,-0.024876451519575626,-0.020620581916617864,0.0042558696029577625
21,2011-04-14,0.0027887441494225396,0.007044613752380302,0.0042558696029577625
22,2011-08-04,-0.09189743922794136,-0.0876415696249836,0.0042558696029577625
23,2011-08-08,-0.01067523701204054,-0.006419367409082777,0.0042558696029577625
24,2011-08-09,0.06349241368612879,0.06774828328908655,0.0042558696029577625
25,2011-08-10,0.00911217433087752,0.013368043933835283,0.0042558696029577625
26,2011-08-11,0.0499311530997848,0.05418702270274256,0.0042558696029577625
27,2011-08-23,0.07011014024649542,0.07436600984945319,0.0042558696029577625
28,2011-09-07,0.011223743545357046,0.015479613148314808,0.0042558696029577625
29,2011-09-08,0.0018357787318552532,0.006091648334813016,0.0042558696029577625
30,2011-09-09,0.02383274785285039,0.02808861745580815,0.0042558696029577625
31,2011-09-12,0.0548064739688654,0.05906234357182316,0.0042558696029577625
32,2011-09-19,-0.056442102411289996,-0.052186232808332234,0.0042558696029577625
33,2011-10-21,0.027707980995413717,0.03196385059837148,0.0042558696029577625
34,2011-11-09,-0.01837968585748484,-0.014123816254527077,0.0042558696029577625
35,2011-11-30,0.04384824126859965,0.048104110871557415,0.0042558696029577625
36,2011-12-30,-0.001060356236608051,0.0031955133663497115,0.0042558696029577625
37,2012-01-23,0.0002945212673095554,0.004550390870267318,0.0042558696029577625
38,2012-06-01,-0.004955264108986168,-0.0006993945060284057,0.0042558696029577625
39,2012-06-06,0.02464048112255046,0.028896350725508224,0.0042558696029577625
40,2012-07-02,-0.013565446151071803,-0.00930957654811404,0.0042558696029577625
41,2012-09-04,0.010411786893566699,0.014667656496524462,0.0042558696029577625
42,2012-09-06,0.022065314037502448,0.02632118364046021,0.0042558696029577625
43,2012-11-07,-0.04474816405137594,-0.040492294448418176,0.0042558696029577625
44,2012-12-07,0.0016590841789079214,0.005914953781865684,0.0042558696029577625
45,2013-01-02,0.01916653006792135,0.023422399670879113,0.0042558696029577625
46,2013-02-01,-0.0014505608130424008,0.0028053087899153617,0.0042558696029577625
47,2013-02-25,0.00016821294993185631,0.004424082552889619,0.0042558696029577625
48,2013-03-26,0.013399090699342642,0.017654960302300404,0.0042558696029577625
49,2013-04-15,-0.025510573326592456,-0.021254703723634694,0.0042558696029577625
50,2013-06-20,-0.0174112702443332,-0.013155400641375437,0.0042558696029577625
51,2013-07-22,0.012823969332279805,0.017079838935237568,0.0042558696029577625
52,2013-09-26,-0.001658592709694151,0.0025972768932636114,0.0042558696029577625
53,2013-10-10,0.039615441750993075,0.04387131135395084,0.0042558696029577625
54,2014-03-05,-0.00495260166548428,-0.0006967320625265172,0.0042558696029577625
55,2014-04-10,-0.015708397391793638,-0.011452527788835876,0.0042558696029577625
56,2014-05-12,-0.003938063396489833,0.0003178062064679299,0.0042558696029577625
57,2014-07-31,-0.02374400603524207,-0.01948813643228431,0.0042558696029577625
58,2014-08-29,0.014352670750084728,0.01860854035304249,0.0042558696029577625
59,2014-09-25,-0.03009229951736825,-0.025836429914410486,0.0042558696029577625
60,2014-12-10,-0.05076261955642969,-0.046506749953471926,0.0042558696029577625
61,2014-12-17,0.05144424403664427,0.055700113639602034,0.0042558696029577625
62,2014-12-18,0.028750121834583364,0.03300599143754113,0.0042558696029577625
63,2015-01-21,-0.005582532113350247,-0.0013266625103924845,0.0042558696029577625
64,2015-04-24,-0.0101513024001878,-0.005895432797230038,0.0042558696029577625
65,2015-06-29,-0.015515707056143802,-0.011259837453186039,0.0042558696029577625
66,2015-07-29,-0.008784050469064164,-0.004528180866106402,0.0042558696029577625
67,2015-08-21,-0.017014371019721475,-0.012758501416763712,0.0042558696029577625
68,2015-08-24,0.015445479035713472,0.019701348638671234,0.0042558696029577625
69,2015-08-26,0.02401976050745369,0.028275630110411454,0.0042558696029577625
70,2015-09-23,-0.03181141615119176,-0.027555546548234,0.0042558696029577625
71,2015-09-25,-0.007368002388761563,-0.0031121327858038006,0.0042558696029577625
72,2015-10-01,0.02813486816480748,0.03239073776776524,0.0042558696029577625
73,2015-10-07,0.007254451269025131,0.011510320871982893,0.0042558696029577625
74,2015-10-27,0.013089481189147989,0.01734535079210575,0.0042558696029577625
75,2015-12-04,0.00114419055907522,0.0054000601620329824,0.0042558696029577625
76,2016-03-08,0.008125734939833817,0.01238160454279158,0.0042558696029577625
77,2016-03-31,0.0011978515637185438,0.005453721166676306,0.0042558696029577625
78,2016-06-24,-0.009209209631003468,-0.004953340028045705,0.0042558696029577625
79,2016-07-26,0.0038367632328670798,0.008092632835824842,0.0042558696029577625
80,2016-09-09,-0.010239550347061588,-0.005983680744103825,0.0042558696029577625
81,2016-10-10,-0.010187843120665674,-0.005931973517707911,0.0042558696029577625
82,2016-11-07,0.03805529367110139,0.04231116327405915,0.0042558696029577625
83,2016-12-07,0.0259905286868094,0.030246398289767162,0.0042558696029577625
84,2017-05-17,-0.0039939811426168426,0.00026188846034091995,0.0042558696029577625
85,2017-06-16,0.005230226028904328,0.00948609563186209,0.0042558696029577625
86,2017-09-18,-0.01045058205596483,-0.006194712453007067,0.0042558696029577625
87,2017-10-27,0.016581644905122372,0.020837514508080135,0.0042558696029577625
88,2017-11-28,-0.01230901949958041,-0.008053149896622647,0.0042558696029577625
89,2018-02-02,-0.09049704476312348,-0.08624117516016572,0.0042558696029577625
90,2018-02-05,-0.051284462460336466,-0.047028592857378704,0.0042558696029577625
91,2018-02-08,0.005841223322337941,0.010097092925295703,0.0042558696029577625
92,2018-03-07,0.012353756398805649,0.01660962600176341,0.0042558696029577625
93,2018-03-12,-0.01008523424619956,-0.005829364643241797,0.0042558696029577625
94,2018-03-22,-0.04955469265440926,-0.0452988230514515,0.0042558696029577625
95,2018-04-25,0.018011214726569635,0.022267084329527398,0.0042558696029577625
96,2018-05-07,0.02476053826168667,0.029016407864644433,0.0042558696029577625
97,2018-05-25,0.005408245334276529,0.009664114937234292,0.0042558696029577625
98,2018-10-10,-0.025908525024641138,-0.021652655421683376,0.0042558696029577625
99,2018-10-16,0.005753509658523948,0.01000937926148171,0.0042558696029577625
100,2018-10-24,-0.02869997902648247,-0.024444109423524707,0.0042558696029577625
101,2018-10-25,0.017306867301497775,0.021562736904455537,0.0042558696029577625
102,2018-11-08,-0.0440906776696367,-0.03983480806667894,0.0042558696029577625
103,2018-12-04,-0.051401463469952,-0.04714559386699424,0.0042558696029577625
104,2018-12-26,0.0701512844956591,0.07440715409861687,0.0042558696029577625
105,2019-01-04,0.05313699133371208,0.05739286093666984,0.0042558696029577625
106,2019-01-28,0.012486769085360727,0.01674263868831849,0.0042558696029577625
107,2019-02-04,-0.004021178392447089,0.00023469121051067354,0.0042558696029577625
108,2019-02-05,-0.012137713012887574,-0.007881843409929812,0.0042558696029577625
