seed,condition,pws_final_half,pws_slope,pws_mean,pws_std,pws_q1,pws_q2,pws_q3,pws_q4
0,control,0.7589455226204209,6.292401488476738e-07,0.757499290517278,0.0381377718096078,,,,
1,control,0.7582391805496991,-2.283296209036467e-09,0.7573697340633714,0.03833807371013397,,,,
3,control,0.7578346511507189,-9.081126498578155e-06,0.7571058436259361,0.03826067945672626,,,,
2,control,0.7589846127544367,-4.382281997240257e-06,0.7579568643336433,0.03839659448133796,,,,
1,treatment,0.7837619045976001,-7.77131696645591e-05,0.7972108491429951,0.051610933018511156,0.8118133512928349,0.8696710323198623,0.9496212960639251,0.9110762901318661
0,treatment,0.7787976197630916,-1.3980706833711751e-05,0.7884681785194496,0.0526745146176963,0.8182637300126226,0.8815388427911411,0.9450395510948408,0.9017228996646078
2,treatment,0.7847155732133997,1.4585235112276717e-05,0.7873049940342681,0.05163461895773539,0.8047711780139875,0.8734746694827594,0.9538334560349581,0.9152642841524807
3,treatment,0.7956846734338892,4.405219363582205e-05,0.7967052135343556,0.04819665778426723,0.8220375296606284,0.8780893824378324,0.9535783175599271,0.9161274305075775
5,control,0.7592396837396241,-2.2885490573636488e-06,0.7576495138298439,0.03898950522976115,,,,
4,control,0.7576890641905568,-1.5122012172624679e-05,0.7575394944070722,0.0380903907139718,,,,
4,treatment,0.7737191742827673,-0.00011558450340180633,0.7890944345207719,0.05216243221297318,0.8136618295660105,0.8868436461312456,0.9405865824302705,0.8977133974598706
5,treatment,0.7900849499420154,5.801869494991532e-06,0.7957351968976651,0.048936408024553575,0.8040999846313626,0.8695937350738095,0.9542430811858215,0.919005688986286
6,control,0.7591212777228135,-1.1315560658378472e-05,0.758026599325099,0.0382753901133234,,,,
7,control,0.7604338585927221,-2.5303001905157382e-06,0.7573954961077176,0.03889677873513643,,,,
8,control,0.7581532681376661,-9.710300259584858e-07,0.7568885285922929,0.03860780976224293,,,,
6,treatment,0.7755996029287416,-6.0815075360076035e-05,0.7862097687004389,0.04906129500981511,0.8184914047948982,0.8837414004792473,0.9406557327889709,0.8945273742239761
7,treatment,0.7825211568317898,2.535625930625721e-05,0.7882295546028809,0.05358011775428096,0.8125406309278078,0.880173669618589,0.9488290648313837,0.9097396874217001
8,treatment,0.7678987417006649,-5.389284345676077e-05,0.7794177676608985,0.05168522074974656,0.810659240565481,0.8722933988500396,0.9438181639029959,0.9003138698563435
9,control,0.7596073475622765,9.327336348287786e-06,0.7573615633726232,0.03840816867208248,,,,
